State,First Year,Last Year,Injury Intent,Race / Ethnicity,Gender,Total Deaths (#),"Age-adjusted Rate (per 100,000)"
Arizona,2019,2023,All Firearm Deaths,All Races/Ethnicities,Female,985,5.4
Arizona,2019,2023,All Firearm Deaths,non-Hispanic Black,All Genders,533,29.6
Arizona,2019,2023,All Firearm Deaths,non-Hispanic Black,Male,471,49.3
Arizona,2019,2023,All Firearm Deaths,non-Hispanic Black,Female,62,7.4
Arizona,2019,2023,All Firearm Deaths,non-Hispanic white,All Genders,3929,17.6
Arizona,2019,2023,All Firearm Deaths,non-Hispanic white,Male,3345,29.8
Arizona,2019,2023,All Firearm Deaths,non-Hispanic white,Female,584,5.5
Arizona,2019,2023,All Firearm Deaths,Latinx,All Genders,1665,13.7
Arizona,2019,2023,All Firearm Deaths,Latinx,Male,1418,23.3
Arizona,2019,2023,All Firearm Deaths,Latinx,Female,247,4.1
Arizona,2019,2023,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,308,21.5
Arizona,2019,2023,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Male,257,36.5
Arizona,2019,2023,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Female,51,7.0
Arizona,2019,2023,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),All Genders,69,4.7
Arizona,2019,2023,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Male,56,7.9
Arizona,2019,2023,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Female,13,
Arizona,2019,2023,All Firearm Deaths,More than one race,All Genders,140,19.2
Arizona,2019,2023,All Firearm Deaths,More than one race,Male,122,33.5
Arizona,2019,2023,All Firearm Deaths,More than one race,Female,18,
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,All Genders,2130,6.1
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Male,1761,10.0
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Female,369,2.2
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic Black,All Genders,373,20.6
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Male,330,34.4
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Female,43,5.1
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic white,All Genders,539,3.0
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic white,Male,407,4.6
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic white,Female,132,1.4
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),Latinx,All Genders,926,7.3
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),Latinx,Male,783,12.1
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),Latinx,Female,143,2.3
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),All Genders,185,13.2
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Male,152,22.2
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Female,33,4.5
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),All Genders,24,1.7
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Male,19,
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Female,,
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),More than one race,All Genders,62,7.8
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),More than one race,Male,51,12.2
Arizona,2019,2023,Firearm Homicide (including Legal Intervention),More than one race,Female,11,
Arizona,2019,2023,Firearm Suicide,All Races/Ethnicities,All Genders,4451,11.2
Arizona,2019,2023,Firearm Suicide,All Races/Ethnicities,Male,3863,19.7
Arizona,2019,2023,Firearm Suicide,All Races/Ethnicities,Female,588,3.1
Arizona,2019,2023,Firearm Suicide,non-Hispanic Black,All Genders,150,8.4
Arizona,2019,2023,Firearm Suicide,non-Hispanic Black,Male,132,14.0
Arizona,2019,2023,Firearm Suicide,non-Hispanic Black,Female,18,
Arizona,2019,2023,Firearm Suicide,non-Hispanic white,All Genders,3336,14.3
Arizona,2019,2023,Firearm Suicide,non-Hispanic white,Male,2897,24.8
Arizona,2019,2023,Firearm Suicide,non-Hispanic white,Female,439,3.9
Arizona,2019,2023,Firearm Suicide,Latinx,All Genders,689,6.0
Arizona,2019,2023,Firearm Suicide,Latinx,Male,596,10.6
Arizona,2019,2023,Firearm Suicide,Latinx,Female,93,1.5
Arizona,2019,2023,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,106,7.2
Arizona,2019,2023,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,91,12.5
Arizona,2019,2023,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,15,
Arizona,2019,2023,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,45,3.1
Arizona,2019,2023,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,37,5.2
Arizona,2019,2023,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,,
Arizona,2019,2023,Firearm Suicide,More than one race,All Genders,73,10.6
Arizona,2019,2023,Firearm Suicide,More than one race,Male,66,19.8
Arizona,2019,2023,Firearm Suicide,More than one race,Female,,
Arkansas,2019,2023,All Firearm Deaths,All Races/Ethnicities,All Genders,3288,21.8
Arkansas,2019,2023,All Firearm Deaths,All Races/Ethnicities,Male,2754,37.0
Arkansas,2019,2023,All Firearm Deaths,All Races/Ethnicities,Female,534,7.1
Arkansas,2019,2023,All Firearm Deaths,non-Hispanic Black,All Genders,995,42.4
Arkansas,2019,2023,All Firearm Deaths,non-Hispanic Black,Male,867,76.4
Arkansas,2019,2023,All Firearm Deaths,non-Hispanic Black,Female,128,10.8
Arkansas,2019,2023,All Firearm Deaths,non-Hispanic white,All Genders,2165,19.1
Arkansas,2019,2023,All Firearm Deaths,non-Hispanic white,Male,1788,32.0
Arkansas,2019,2023,All Firearm Deaths,non-Hispanic white,Female,377,6.8
Arkansas,2019,2023,All Firearm Deaths,Latinx,All Genders,80,6.3
Arkansas,2019,2023,All Firearm Deaths,Latinx,Male,61,9.3
Arkansas,2019,2023,All Firearm Deaths,Latinx,Female,19,
Arkansas,2019,2023,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,,
Arkansas,2019,2023,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Male,,
Arkansas,2019,2023,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Female,,
Arkansas,2019,2023,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),All Genders,22,7.1
Arkansas,2019,2023,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Male,16,
Arkansas,2019,2023,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Female,,
Arkansas,2019,2023,All Firearm Deaths,More than one race,All Genders,14,
Arkansas,2019,2023,All Firearm Deaths,More than one race,Male,12,
Arkansas,2019,2023,All Firearm Deaths,More than one race,Female,,
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,All Genders,1357,9.5
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Male,1114,15.6
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Female,243,3.4
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic Black,All Genders,842,35.7
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Male,733,64.0
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Female,109,9.2
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic white,All Genders,450,4.4
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic white,Male,333,6.5
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic white,Female,117,2.2
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),Latinx,All Genders,43,3.1
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),Latinx,Male,31,4.2
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),Latinx,Female,12,
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),All Genders,,
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Male,,
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Female,,
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),All Genders,,
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Male,,
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Female,,
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),More than one race,All Genders,12,
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),More than one race,Male,10,
Arkansas,2019,2023,Firearm Homicide (including Legal Intervention),More than one race,Female,,
Arkansas,2019,2023,Firearm Suicide,All Races/Ethnicities,All Genders,1831,11.6
Arkansas,2019,2023,Firearm Suicide,All Races/Ethnicities,Male,1558,20.3
Arkansas,2019,2023,Firearm Suicide,All Races/Ethnicities,Female,273,3.5
Arkansas,2019,2023,Firearm Suicide,non-Hispanic Black,All Genders,129,5.7
Arkansas,2019,2023,Firearm Suicide,non-Hispanic Black,Male,114,10.7
Arkansas,2019,2023,Firearm Suicide,non-Hispanic Black,Female,15,
Arkansas,2019,2023,Firearm Suicide,non-Hispanic white,All Genders,1640,14.0
Arkansas,2019,2023,Firearm Suicide,non-Hispanic white,Male,1394,24.3
Arkansas,2019,2023,Firearm Suicide,non-Hispanic white,Female,246,4.3
Arkansas,2019,2023,Firearm Suicide,Latinx,All Genders,37,3.2
Arkansas,2019,2023,Firearm Suicide,Latinx,Male,30,5.1
Arkansas,2019,2023,Firearm Suicide,Latinx,Female,,
Arkansas,2019,2023,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,,
Arkansas,2019,2023,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,,
Arkansas,2019,2023,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,0,
Arkansas,2019,2023,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,16,
Arkansas,2019,2023,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,12,
Arkansas,2019,2023,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,,
Arkansas,2019,2023,Firearm Suicide,More than one race,All Genders,,
Arkansas,2019,2023,Firearm Suicide,More than one race,Male,,
Arkansas,2019,2023,Firearm Suicide,More than one race,Female,0,
California,2019,2023,All Firearm Deaths,All Races/Ethnicities,All Genders,16662,8.3
California,2019,2023,All Firearm Deaths,All Races/Ethnicities,Male,14791,14.8
California,2019,2023,All Firearm Deaths,All Races/Ethnicities,Female,1871,1.9
California,2019,2023,All Firearm Deaths,non-Hispanic Black,All Genders,2896,25.9
California,2019,2023,All Firearm Deaths,non-Hispanic Black,Male,2610,45.2
California,2019,2023,All Firearm Deaths,non-Hispanic Black,Female,286,5.2
California,2019,2023,All Firearm Deaths,non-Hispanic white,All Genders,6814,8.1
California,2019,2023,All Firearm Deaths,non-Hispanic white,Male,5963,14.2
California,2019,2023,All Firearm Deaths,non-Hispanic white,Female,851,2.1
California,2019,2023,All Firearm Deaths,Latinx,All Genders,5692,7.0
California,2019,2023,All Firearm Deaths,Latinx,Male,5148,12.5
California,2019,2023,All Firearm Deaths,Latinx,Female,544,1.4
California,2019,2023,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,71,9.0
California,2019,2023,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Male,65,16.4
California,2019,2023,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Female,,
California,2019,2023,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),All Genders,795,2.5
California,2019,2023,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Male,672,4.3
California,2019,2023,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Female,123,0.8
California,2019,2023,All Firearm Deaths,More than one race,All Genders,364,6.9
California,2019,2023,All Firearm Deaths,More than one race,Male,306,11.7
California,2019,2023,All Firearm Deaths,More than one race,Female,58,2.2
California,2019,2023,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,All Genders,8370,4.3
California,2019,2023,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Male,7371,7.5
California,2019,2023,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Female,999,1.0
California,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic Black,All Genders,2458,22.1
California,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Male,2212,38.2
California,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Female,246,4.6
California,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic white,All Genders,1141,1.7
California,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic white,Male,915,2.7
California,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic white,Female,226,0.6
California,2019,2023,Firearm Homicide (including Legal Intervention),Latinx,All Genders,4181,5.0
California,2019,2023,Firearm Homicide (including Legal Intervention),Latinx,Male,3774,8.9
California,2019,2023,Firearm Homicide (including Legal Intervention),Latinx,Female,407,1.0
California,2019,2023,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),All Genders,45,5.6
California,2019,2023,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Male,39,9.7
California,2019,2023,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Female,,
California,2019,2023,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),All Genders,338,1.1
California,2019,2023,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Male,261,1.7
California,2019,2023,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Female,77,0.4
California,2019,2023,Firearm Homicide (including Legal Intervention),More than one race,All Genders,196,3.5
California,2019,2023,Firearm Homicide (including Legal Intervention),More than one race,Male,161,5.8
California,2019,2023,Firearm Homicide (including Legal Intervention),More than one race,Female,35,1.2
California,2019,2023,Firearm Suicide,All Races/Ethnicities,All Genders,8049,3.8
California,2019,2023,Firearm Suicide,All Races/Ethnicities,Male,7216,7.1
California,2019,2023,Firearm Suicide,All Races/Ethnicities,Female,833,0.8
California,2019,2023,Firearm Suicide,non-Hispanic Black,All Genders,398,3.5
California,2019,2023,Firearm Suicide,non-Hispanic Black,Male,366,6.4
California,2019,2023,Firearm Suicide,non-Hispanic Black,Female,32,0.5
California,2019,2023,Firearm Suicide,non-Hispanic white,All Genders,5593,6.3
California,2019,2023,Firearm Suicide,non-Hispanic white,Male,4985,11.3
California,2019,2023,Firearm Suicide,non-Hispanic white,Female,608,1.5
California,2019,2023,Firearm Suicide,Latinx,All Genders,1412,1.8
California,2019,2023,Firearm Suicide,Latinx,Male,1287,3.4
California,2019,2023,Firearm Suicide,Latinx,Female,125,0.3
California,2019,2023,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,26,3.4
California,2019,2023,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,26,6.7
California,2019,2023,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,0,
California,2019,2023,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,447,1.4
California,2019,2023,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,402,2.6
California,2019,2023,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,45,0.3
California,2019,2023,Firearm Suicide,More than one race,All Genders,156,3.1
California,2019,2023,Firearm Suicide,More than one race,Male,134,5.5
California,2019,2023,Firearm Suicide,More than one race,Female,22,0.9
Colorado,2019,2023,All Firearm Deaths,All Races/Ethnicities,All Genders,4887,16.2
Colorado,2019,2023,All Firearm Deaths,All Races/Ethnicities,Male,4160,27.4
Colorado,2019,2023,All Firearm Deaths,All Races/Ethnicities,Female,727,5.0
Colorado,2019,2023,All Firearm Deaths,non-Hispanic Black,All Genders,390,30.8
Colorado,2019,2023,All Firearm Deaths,non-Hispanic Black,Male,345,49.1
Colorado,2019,2023,All Firearm Deaths,non-Hispanic Black,Female,45,8.2
