"Year","Month","CPI","inflation_rate","inflation_criteria"
2022,"Sep",296.808,8.2,"Not Achieved"
2023,"Sep",307.789,3.7,"Not Achieved"
2024,"Sep",315.301,2.44,"Not Achieved"
2000,"Oct",174,3.45,"Not Achieved"
2001,"Oct",177.7,2.13,"Not Achieved"
2002,"Oct",181.3,2.03,"Not Achieved"
2003,"Oct",185,2.04,"Not Achieved"
2004,"Oct",190.9,3.19,"Not Achieved"
2005,"Oct",199.2,4.35,"Not Achieved"
2006,"Oct",201.8,1.31,"Achieved"
2007,"Oct",208.936,3.54,"Not Achieved"
2008,"Oct",216.573,3.66,"Not Achieved"
2009,"Oct",216.177,-0.18,"Achieved"
2010,"Oct",218.711,1.17,"Achieved"
2011,"Oct",226.421,3.53,"Not Achieved"
2012,"Oct",231.317,2.16,"Not Achieved"
2013,"Oct",233.546,0.96,"Achieved"
2014,"Oct",237.433,1.66,"Achieved"
2015,"Oct",237.838,0.17,"Achieved"
2016,"Oct",241.729,1.64,"Achieved"
2017,"Oct",246.663,2.04,"Not Achieved"
2018,"Oct",252.885,2.52,"Not Achieved"
2019,"Oct",257.346,1.76,"Achieved"
2020,"Oct",260.388,1.18,"Achieved"
2021,"Oct",276.589,6.22,"Not Achieved"
2022,"Oct",298.012,7.75,"Not Achieved"
2023,"Oct",307.671,3.24,"Not Achieved"
2024,"Oct",315.664,2.6,"Not Achieved"
2000,"Nov",174.1,3.45,"Not Achieved"
2001,"Nov",177.4,1.9,"Achieved"
2002,"Nov",181.3,2.2,"Not Achieved"
2003,"Nov",184.5,1.77,"Achieved"
2004,"Nov",191,3.52,"Not Achieved"
2005,"Nov",197.6,3.46,"Not Achieved"
2006,"Nov",201.5,1.97,"Achieved"
2007,"Nov",210.177,4.31,"Not Achieved"
2008,"Nov",212.425,1.07,"Achieved"
2009,"Nov",216.33,1.84,"Achieved"
2010,"Nov",218.803,1.14,"Achieved"
2011,"Nov",226.23,3.39,"Not Achieved"
2012,"Nov",230.221,1.76,"Achieved"
2013,"Nov",233.069,1.24,"Achieved"
2014,"Nov",236.151,1.32,"Achieved"
2015,"Nov",237.336,0.5,"Achieved"
2016,"Nov",241.353,1.69,"Achieved"
2017,"Nov",246.669,2.2,"Not Achieved"
2018,"Nov",252.038,2.18,"Not Achieved"
2019,"Nov",257.208,2.05,"Not Achieved"
2020,"Nov",260.229,1.17,"Achieved"
2021,"Nov",277.948,6.81,"Not Achieved"
2022,"Nov",297.711,7.11,"Not Achieved"
2023,"Nov",307.051,3.14,"Not Achieved"
2024,"Nov",315.493,2.75,"Not Achieved"
2000,"Dec",174,3.39,"Not Achieved"
2001,"Dec",176.7,1.55,"Achieved"
2002,"Dec",180.9,2.38,"Not Achieved"
2003,"Dec",184.3,1.88,"Achieved"
2004,"Dec",190.3,3.26,"Not Achieved"
2005,"Dec",196.8,3.42,"Not Achieved"
2006,"Dec",201.8,2.54,"Not Achieved"
2007,"Dec",210.036,4.08,"Not Achieved"
2008,"Dec",210.228,0.09,"Achieved"
2009,"Dec",215.949,2.72,"Not Achieved"
2010,"Dec",219.179,1.5,"Achieved"
2011,"Dec",225.672,2.96,"Not Achieved"
2012,"Dec",229.601,1.74,"Achieved"
2013,"Dec",233.049,1.5,"Achieved"
2014,"Dec",234.812,0.76,"Achieved"
2015,"Dec",236.525,0.73,"Achieved"
2016,"Dec",241.432,2.07,"Not Achieved"
2017,"Dec",246.524,2.11,"Not Achieved"
2018,"Dec",251.233,1.91,"Achieved"
2019,"Dec",256.974,2.29,"Not Achieved"
2020,"Dec",260.474,1.36,"Achieved"
2021,"Dec",278.802,7.04,"Not Achieved"
2022,"Dec",296.797,6.45,"Not Achieved"
2023,"Dec",306.746,3.35,"Not Achieved"
2024,"Dec",315.605,2.89,"Not Achieved"
